X,Y
30.548272,50.4937664
30.586096,50.4285504
30.586096,50.428448
30.4420768,50.4450048
30.4420768,50.4448288
30.4799008,50.48824
30.5555488,50.3908192
30.5555488,50.3906848
30.5555488,50.3907552
30.5933728,50.484
30.4493536,50.5267904
30.4493536,50.476032
30.4871776,50.4890368
30.3128256,50.5420448
30.5628256,50.4021824
30.5628256,50.4021088
30.5628256,50.4954464
30.6006496,50.4617184
30.4262976,50.4767328
30.5322784,50.4046176
30.5701024,50.4954656
30.5701024,50.4135616
30.3579264,50.4497856
30.3579264,50.4461664
30.3957504,50.4057088
30.5017312,50.344832
30.4713984,50.560528
30.4713984,50.5605024
30.4713984,50.4471552
30.4713984,50.5618912
30.4713984,50.5613888
30.4713984,50.5659584
30.4713984,50.5645408
30.5773792,50.3956768
30.4786752,50.48784
30.546832,50.4019616
30.334656,50.4540448
30.37248,50.4564064
30.660304,50.4025376
30.485952,50.488976
30.523776,50.4880864
30.5919328,50.3947072
30.4175808,50.4772608
30.5310528,50.472032
30.3492096,50.5210432
30.5992096,50.3943264
30.3188768,50.4528896
30.5688768,50.4954656
30.5688768,50.4098816
30.4248576,50.4768704
30.4248576,50.3952224
30.5383296,50.4913664
30.5761536,50.3956704
30.4321344,50.5247104
30.5456064,50.402112
30.3334304,50.4539872
30.5834304,50.4276224
30.5834304,50.4276288
30.4772352,50.3449088
30.4772352,50.3467904
30.4772352,50.5071136
30.4772352,50.3452992
30.5150592,50.4885984
30.5150592,50.4884576
30.5528832,50.4943584
30.5528832,50.3449376
30.5907072,50.4923712
30.5907072,50.3949888
30.3785312,50.4278272
30.4163552,50.4372608
30.484512,50.3551584
30.484512,50.5347584
30.484512,50.4480832
30.484512,50.5356864
30.484512,50.5455296
30.56016,50.330336
30.597984,50.3943488
30.423632,50.4393152
30.5674368,50.4073952
30.5674368,50.4956352
30.6052608,50.3940864
30.5368896,50.4909472
30.5747136,50.4955744
30.5747136,50.4251904
30.3625376,50.523984
30.6125376,50.4384
30.4760096,50.418592
30.5138336,50.4884832
30.4454624,50.4396768
30.4832864,50.5474848
30.4832864,50.4888544
30.4832864,50.4887072
30.5892672,50.3948544
30.5892672,50.4293888
30.5892672,50.4612704
30.5892672,50.3950528
30.5892672,50.394784
30.5211104,50.4081504
30.7027392,50.4808832
30.3162112,50.452752
30.5662112,50.4060512
30.5662112,50.4316032
30.384368,50.4974656
30.422192,50.4770112
30.49784,50.3490016
30.49784,50.4936288
30.535664,50.4906592
30.323488,50.5359424
30.573488,50.4956128
30.361312,50.4556032
30.4294688,50.4572064
30.5429408,50.4927168
30.4367456,50.4425216
30.3685888,50.4560704
30.6185888,50.3961152
30.5502176,50.3759424
30.5502176,50.37472
30.5502176,50.4940192
30.5502176,50.3761888
30.5502176,50.375936
30.5880416,50.3960768
30.4818464,50.5490336
30.5196704,50.4884416
30.5574944,50.3940128
30.5574944,50.334992
30.5953184,50.4780896
30.6331424,50.4326208
30.4587904,50.370272
30.5269472,50.4022624
30.5647712,50.4954656
30.5647712,50.404048
30.6025952,50.45992
30.284224,50.4503968
30.359872,50.4388672
30.609872,50.4902016
30.609872,50.526272
30.473344,50.4477568
30.3671488,50.4245632
30.4806208,50.5496288
30.2684448,50.4868928
30.5562688,50.391792
30.5562688,50.4947904
30.4500736,50.4537568
30.5257216,50.48816
30.3135456,50.4526368
30.5635456,50.4028128
30.5635456,50.4026176
30.4195264,50.4772544
30.4195264,50.4773088
30.5708224,50.4954048
30.5708224,50.495456
30.3586464,50.4455072
30.4268032,50.47656
30.5402752,50.4920096
30.3280992,50.4535168
30.6159232,50.5314976
30.471904,50.5589408
30.471904,50.5596352
30.471904,50.56736
30.471904,50.558944
30.471904,50.5589184
30.509728,50.488608
30.547552,50.4016608
